time_ms,frame_time_ms,source_fps,latency_ms,new_frame,video_w,video_h,bitrate_mbps,total_frames,dropped_frames,audio_queue,audio_underruns
62457.226,4.410,59.9,11.206,1,498,1080,0.07,968,0,0,0
62471.500,2.016,59.9,0.000,0,498,1080,0.07,969,0,0,0
62489.566,3.415,59.9,10.895,1,498,1080,0.07,970,0,0,0
62503.970,1.143,59.9,0.000,0,498,1080,0.07,971,0,0,0
62523.921,4.426,59.9,11.517,1,498,1080,0.07,972,0,0,0
62537.498,1.335,59.9,0.000,0,498,1080,0.07,973,0,0,0
62555.373,2.543,59.9,9.676,1,498,1080,0.07,974,0,0,0
62577.249,7.753,59.9,15.831,1,498,1080,0.07,975,0,0,0
62587.119,0.954,59.9,0.000,0,498,1080,0.07,976,0,0,0
62606.364,3.532,59.9,10.445,1,498,1080,0.07,977,0,0,0
62624.694,5.194,59.9,12.516,1,498,1080,0.07,978,0,0,0
62638.020,1.853,59.9,0.000,0,498,1080,0.07,979,0,0,0
62656.151,3.317,59.9,11.708,1,498,1080,0.07,980,0,0,0
62671.008,1.507,59.9,0.000,0,498,1080,0.07,981,0,0,0
62689.930,3.761,59.9,11.282,1,498,1080,0.07,982,0,0,0
62705.052,2.215,59.9,0.000,0,498,1080,0.07,983,0,0,0
62724.923,5.419,59.9,12.037,1,498,1080,0.07,984,0,0,0
62737.460,1.289,59.9,0.000,0,498,1080,0.07,985,0,0,0
62756.152,3.313,59.9,11.350,1,498,1080,0.07,986,0,0,0
62773.626,4.121,59.9,12.324,1,498,1080,0.07,987,0,0,0
62787.596,1.424,59.9,0.000,0,498,1080,0.07,988,0,0,0
62808.912,6.072,59.9,14.390,1,498,1080,0.07,989,0,0,0
62821.047,1.539,59.9,0.000,0,498,1080,0.07,990,0,0,0
62839.803,3.628,59.9,11.255,1,498,1080,0.07,991,0,0,0
62854.075,1.232,59.9,0.000,0,498,1080,0.07,992,0,0,0
62873.495,3.985,59.9,10.392,1,498,1080,0.07,993,0,0,0
62888.367,2.190,59.9,0.000,0,498,1080,0.07,994,0,0,0
62906.835,3.991,59.9,12.017,1,498,1080,0.07,995,0,0,0
62920.814,1.303,59.9,0.000,0,498,1080,0.07,996,0,0,0
62941.731,5.553,59.9,14.918,1,498,1080,0.07,997,0,0,0
62954.690,1.845,59.9,0.000,0,498,1080,0.07,998,0,0,0
62973.587,4.075,59.9,14.097,1,498,1080,0.07,999,0,0,0
62988.558,2.378,59.9,0.000,0,498,1080,0.07,1000,0,0,0
